phone_id,number,owner_person_id,case_id
PH001,+1-555-5422,"P002,P003",C006
PH002,+1-555-1916,P015,C001
PH003,+1-555-6168,P026,C005
PH004,+1-555-2084,P014,C010
PH005,+1-555-6155,P014,C008
PH006,+1-555-7482,P030,C003
PH007,+1-555-5339,P009,C004
PH008,+1-555-9830,P017,C010
PH009,+1-555-8019,P026,C006
PH010,+1-555-4593,P009,C009
PH011,+1-555-9085,P006,C001
PH012,+1-555-2796,P010,C003
PH013,+1-555-7916,P005,C007
PH014,+1-555-7252,P030,C009
PH015,+1-555-5119,P001,C002
PH016,+1-555-9797,P018,C006
PH017,+1-555-2827,P019,C007
PH018,+1-555-3591,P030,C001
PH019,+1-555-5315,P033,C003
PH020,+1-555-9317,P007,C005
