transaction_id,source_account,target_account,amount,timestamp,case_id
TX_CHAIN_1,BA001,BA002,5000.0,2026-08-16T23:31:10.204116,C001
TX_CHAIN_2,BA002,BA003,4900.0,2026-08-17T01:31:10.204116,C001
TX_CHAIN_3,BA003,BA004,4800.0,2026-08-18T01:31:10.204116,C001
TX004,BA050,BA011,8931.34,2026-08-18T14:31:10.204116,C002
TX005,BA050,BA008,3836.52,2026-08-12T21:31:10.204116,C003
TX006,BA050,BA014,4081.92,2026-08-16T03:31:10.204116,C009
TX007,BA050,BA002,2076.28,2026-08-26T21:31:10.204116,C007
TX008,BA050,BA001,8568.75,2026-08-23T14:31:10.204116,C010
TX009,BA050,BA001,9427.99,2026-08-23T05:31:10.204116,C005
TX010,BA050,BA018,7477.68,2026-08-23T15:31:10.204116,C009
TX011,BA050,BA016,2202.02,2026-09-01T17:31:10.204116,C007
TX012,BA050,BA013,3367.93,2026-08-27T17:31:10.204116,C007
TX013,BA050,BA005,9807.41,2026-08-14T01:31:10.204116,C009
TX014,BA013,BA019,5648.28,2026-08-08T03:31:10.204116,C001
TX015,BA014,BA005,8669.85,2026-08-10T13:31:10.204116,C003
TX016,BA009,BA013,3280.25,2026-08-09T03:31:10.204116,C008
TX017,BA011,BA013,2789.78,2026-08-20T22:31:10.204116,C007
TX018,BA003,BA016,203.64,2026-08-17T18:31:10.204116,C009
TX019,BA012,BA008,6504.94,2026-08-09T05:31:10.204116,C001
TX020,BA008,BA007,8393.9,2026-08-08T07:31:10.204116,C010
TX021,BA008,BA005,4740.87,2026-08-13T12:31:10.204116,C002
TX022,BA007,BA015,6997.66,2026-08-31T01:31:10.204116,C006
TX023,BA020,BA020,9637.71,2026-08-14T03:31:10.204116,C002
TX024,BA010,BA004,5791.06,2026-08-13T23:31:10.204116,C005
TX025,BA013,BA013,9415.29,2026-08-31T13:31:10.204116,C004
TX026,BA019,BA008,1027.99,2026-08-10T05:31:10.204116,C005
TX027,BA004,BA019,7828.53,2026-09-01T14:31:10.204116,C006
TX028,BA014,BA012,698.88,2026-08-29T17:31:10.204116,C006
TX029,BA014,BA016,1064.33,2026-08-07T12:31:10.204116,C006
TX030,BA015,BA005,4360.52,2026-09-03T02:31:10.204116,C009
TX031,BA009,BA020,8083.91,2026-09-03T18:31:10.204116,C009
TX032,BA015,BA014,8259.09,2026-08-27T15:31:10.204116,C010
TX033,BA011,BA008,8309.0,2026-08-18T10:31:10.204116,C002
TX034,BA015,BA008,7507.26,2026-08-18T21:31:10.204116,C010
TX035,BA013,BA011,296.71,2026-09-02T00:31:10.204116,C006
TX036,BA016,BA007,3554.7,2026-08-14T18:31:10.204116,C005
TX037,BA009,BA020,7014.83,2026-08-21T12:31:10.204116,C005
TX038,BA001,BA017,9481.15,2026-08-30T17:31:10.204116,C002
TX039,BA014,BA016,5556.21,2026-08-17T07:31:10.204116,C004
TX040,BA016,BA015,7931.4,2026-08-27T07:31:10.204116,C002
TX041,BA008,BA013,6920.95,2026-08-19T13:31:10.204116,C005
TX042,BA019,BA012,4737.87,2026-09-04T07:31:10.204116,C009
TX043,BA014,BA018,3314.61,2026-08-21T16:31:10.204116,C008
TX044,BA010,BA009,2313.08,2026-08-18T13:31:10.204116,C004
TX045,BA004,BA018,9509.27,2026-08-20T11:31:10.204116,C003
TX046,BA007,BA016,2772.23,2026-08-15T04:31:10.204116,C010
TX047,BA020,BA010,9805.3,2026-08-29T09:31:10.204116,C004
TX048,BA008,BA012,1802.62,2026-08-19T15:31:10.204116,C001
TX049,BA005,BA009,464.7,2026-08-29T18:31:10.204116,C001
TX050,BA010,BA005,6382.32,2026-08-30T14:31:10.204116,C008
TX051,BA001,BA019,2850.55,2026-08-11T09:31:10.204116,C008
TX052,BA011,BA006,9655.32,2026-08-25T19:31:10.204116,C005
TX053,BA004,BA003,4013.07,2026-08-27T09:31:10.204116,C002
TX054,BA002,BA005,1500.48,2026-08-31T14:31:10.204116,C010
TX055,BA003,BA008,1193.33,2026-08-19T23:31:10.204116,C007
TX056,BA020,BA020,2264.61,2026-09-01T20:31:10.204116,C009
TX057,BA015,BA015,2980.56,2026-08-23T05:31:10.204116,C010
TX058,BA010,BA019,6214.06,2026-08-25T07:31:10.204116,C010
TX059,BA007,BA007,2653.81,2026-08-11T05:31:10.204116,C002
TX060,BA008,BA006,5524.4,2026-08-13T16:31:10.204116,C003
TX061,BA014,BA015,6896.82,2026-08-07T02:31:10.204116,C008
TX062,BA002,BA008,2888.17,2026-08-19T10:31:10.204116,C005
TX063,BA003,BA008,9239.87,2026-08-26T08:31:10.204116,C010
TX064,BA007,BA014,1156.62,2026-09-04T05:31:10.204116,C004
TX065,BA005,BA009,8268.05,2026-09-03T15:31:10.204116,C002
TX066,BA006,BA010,5954.49,2026-08-09T13:31:10.204116,C010
TX067,BA015,BA004,4692.29,2026-08-19T07:31:10.204116,C005
TX068,BA009,BA017,5404.42,2026-08-24T04:31:10.204116,C008
TX069,BA020,BA002,8895.33,2026-08-10T10:31:10.204116,C006
TX070,BA009,BA001,922.36,2026-09-01T18:31:10.204116,C010
TX071,BA001,BA009,5766.71,2026-09-01T01:31:10.204116,C003
TX072,BA017,BA015,9161.57,2026-08-27T01:31:10.204116,C003
TX073,BA014,BA016,9690.86,2026-08-31T23:31:10.204116,C008
TX074,BA014,BA011,3217.37,2026-08-21T20:31:10.204116,C002
TX075,BA011,BA014,6939.8,2026-08-13T20:31:10.204116,C005
